Biraèko mjesto:;BPS - SEFER HALILOVIÆ;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIÆ;?????????????? ???????;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;HRVATSKA DEMOKRATSKA UNIJA BIH;STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;HODŽIÆ HAZIM - NEZAVISNI KANDIDAT;SAVEZ ZA BOLJU BUDUÆNOST BIH - SBB BIH FAHRUDIN RADONÈIÆ;PARTIJA PRAVOG PUTA;STRANKA KOKUZA - SKOK;NAŠA STRANKA - NOVA SOCIJALISTIÈKA PARTIJA ZDRAVKO KRSMANOVIÆ;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;SDU BIH - LDS BIH - E5 - KOALICIJA ZA TUZLANSKI KANTON;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biraèko mjesto:
050A075;5;11;118;11;1;16;0;22;1;6;3;3;0;2;0;1;0;58;0;8;21;3;5;3;298
050A076;16;21;175;2;2;23;0;40;0;7;2;1;1;2;2;1;2;95;0;8;16;2;3;7;428
050A077;7;20;141;10;0;22;0;43;1;30;7;3;0;2;1;3;1;65;0;10;38;3;4;2;413
050A078;16;35;191;12;1;19;0;26;0;14;1;5;1;3;1;2;0;52;1;8;6;2;6;0;402
050A079;13;22;212;6;3;24;0;54;0;28;2;4;0;0;5;2;1;69;0;8;31;5;2;7;498
050A080;0;0;15;126;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;4;0;0;178
050A081;2;7;357;2;2;22;0;66;0;49;2;1;0;1;6;0;0;30;0;6;7;0;8;1;569
050A082;4;7;167;0;4;15;0;65;0;11;3;0;0;3;1;0;0;39;0;3;1;0;4;26;353
050A083;4;12;78;4;1;7;0;49;0;19;1;0;0;2;1;0;0;38;0;5;1;0;3;2;227
050A084;4;13;116;6;1;5;0;89;0;27;8;0;0;0;2;0;0;47;0;1;2;0;5;6;332
050A085;0;0;63;138;0;0;0;0;0;6;0;0;0;1;0;0;0;9;0;1;2;4;2;0;226
050A086;2;0;66;92;0;5;0;17;0;10;1;0;0;0;3;0;0;7;0;2;1;5;1;1;213
050A087;0;0;61;138;0;0;0;0;0;13;0;0;0;0;1;0;0;2;0;3;0;6;0;0;224
050A088;11;14;104;3;7;17;0;56;0;35;6;0;0;0;3;0;0;59;1;6;7;0;4;3;336
050A089;11;8;88;2;0;16;0;105;0;53;0;0;0;3;0;1;0;62;0;6;4;0;0;2;361
050A090;4;33;36;2;0;9;0;120;0;45;4;0;0;0;1;1;0;61;0;4;1;0;0;3;324
050A091;14;47;69;4;2;4;0;79;0;35;0;0;0;0;1;0;0;88;2;4;5;2;2;1;359
