,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,050A111,26,14,117,0,0,3,3,8,0,1,0,81,66,28,0,0,6,5,1,359
,050A112,9,9,57,0,3,3,8,5,0,1,0,71,36,31,0,0,3,1,2,239
,050A113,16,82,102,2,0,6,8,4,1,4,1,122,82,29,1,0,7,1,2,470
,050A114,7,16,56,1,0,4,7,6,1,2,0,71,41,19,1,2,0,0,3,237
,050A115,16,33,62,5,15,1,19,7,3,5,0,79,52,26,0,0,24,4,0,351
,050A116,3,14,42,6,14,4,31,4,7,6,0,81,40,34,0,0,5,10,2,303
,050A117,11,17,73,4,6,10,20,7,2,8,3,80,97,36,0,2,9,6,2,393
,050A118,12,13,52,2,3,7,6,4,0,4,1,41,16,33,0,0,3,6,2,205
,050A119,20,14,82,5,6,6,7,8,2,13,0,113,36,59,1,1,5,14,7,399
,050A120,18,23,71,1,1,4,86,8,0,4,0,74,43,27,0,0,6,6,1,373
,050A121,12,22,54,1,8,5,57,5,2,5,0,86,31,34,1,1,13,2,2,341
,050A122,5,15,88,6,8,14,5,5,0,6,1,97,50,90,1,3,6,13,2,415
,050A123,11,13,75,3,5,7,15,9,0,8,1,112,54,37,2,1,5,6,0,364
,050A124,9,18,109,7,11,14,7,14,2,5,3,67,33,78,2,1,1,17,3,401
,050A125,11,12,100,8,12,3,9,14,5,4,0,69,55,61,2,1,3,14,2,385
,050A126,9,10,108,5,9,11,6,15,0,7,1,94,37,83,2,2,7,10,1,417
,050A127,8,10,80,5,8,16,7,16,1,7,5,86,53,43,4,0,3,25,1,378
,050A128,3,15,78,2,12,18,6,28,4,6,0,97,51,81,0,1,0,5,0,407
,050A129,11,10,88,3,11,19,6,10,4,13,2,83,57,52,0,4,11,7,5,396
,050A130,16,17,71,7,4,14,12,20,11,19,1,83,34,57,2,0,10,20,5,403
,050A131,5,11,63,7,9,8,6,18,1,4,1,52,32,83,0,4,2,7,0,313
,050A132,2,6,81,5,10,8,5,20,4,8,1,50,34,56,0,1,9,9,3,312
,050A133,18,10,93,2,0,4,23,2,1,5,0,37,65,69,0,3,2,1,2,337
,050A134,19,4,81,0,7,2,30,0,2,1,0,47,23,48,0,0,6,2,1,273
,050A135,12,12,42,0,1,3,23,0,0,10,0,35,112,17,0,0,6,3,3,279
,050A136,8,7,32,0,0,2,18,0,0,5,0,27,83,15,0,0,2,0,4,203
,050A137,7,66,100,0,0,6,10,2,0,2,0,87,68,39,0,5,5,1,9,407
,050A138,7,2,54,1,3,1,13,1,0,4,1,56,22,47,1,0,4,0,1,218
,050A139,12,14,97,1,0,17,27,6,1,11,0,117,117,41,2,0,2,3,0,468
,050A140,12,22,71,1,0,3,7,13,0,3,0,119,79,35,2,2,7,3,6,385
,050A141,12,15,68,0,1,5,7,14,0,17,0,117,112,47,1,2,7,12,1,438
,050A142,7,12,90,5,17,11,2,16,1,22,0,59,83,74,0,2,12,6,3,422
,050A143,10,5,52,4,4,12,1,13,0,4,0,63,70,48,1,1,4,5,1,298
,050A144,6,14,69,3,12,16,0,17,1,4,2,84,56,58,0,5,9,9,1,366
,050A145,11,11,100,3,10,20,3,18,3,5,0,63,102,68,2,4,12,7,3,445
,050A146,9,27,110,2,2,11,9,6,1,15,0,123,94,43,1,5,5,12,2,477
,050A147,0,7,84,1,7,14,4,23,3,11,1,80,57,54,3,4,4,9,0,366
,050A148,12,16,92,2,2,13,6,13,0,7,0,125,50,48,4,1,3,6,1,401
,050A149,11,5,26,1,2,5,1,4,0,2,0,35,12,22,0,0,3,0,2,131
,050A150,15,9,91,1,2,5,11,4,0,7,2,91,31,61,2,1,4,4,2,343
,050A151,16,22,101,7,1,5,4,7,2,11,1,96,50,40,0,1,7,12,4,387
,050A152,22,14,105,1,12,9,24,4,0,2,0,71,20,22,0,2,1,42,2,353
,052A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,052A001,2,4,23,0,0,0,4,1,0,1,0,33,44,12,1,0,137,0,0,262
,052A002,0,5,36,0,0,0,5,1,0,2,0,36,58,14,0,0,219,0,2,378
,052A003,0,13,15,0,0,2,8,0,0,1,0,36,80,22,0,0,272,0,0,449
,052A004,0,3,5,0,0,0,7,0,0,0,0,7,145,9,0,1,83,0,0,260
,052A005,0,12,8,0,0,0,104,0,0,0,0,19,56,23,1,1,17,0,0,241
,052A006,0,7,30,0,0,1,12,0,0,0,0,33,165,3,0,0,1,0,1,253
,052A007,1,5,4,0,0,0,4,0,0,0,0,6,165,11,0,0,19,0,1,216
,052A008,0,4,5,0,0,0,2,0,0,0,1,4,158,10,2,1,32,0,0,219
,052A009,1,7,17,0,0,0,16,0,0,1,0,15,191,13,0,2,17,0,0,280
,052A010,0,4,10,1,0,1,4,0,0,0,0,19,160,11,4,6,38,0,3,261
,052A011,0,1,5,0,0,0,3,0,0,0,3,12,64,9,0,4,24,0,0,125
,052A012,0,0,0,16,235,1,131,0,0,0,0,0,0,0,0,0,0,0,0,383
,052A013,1,3,28,0,0,1,20,1,0,0,0,30,182,5,0,1,11,2,2,287
,052A014,2,1,20,0,0,0,4,1,2,2,0,37,86,10,1,1,129,0,0,296
,052A015,2,4,30,0,1,0,11,0,0,0,0,36,96,22,1,1,155,0,1,360
,052A016,0,4,11,0,0,0,6,0,0,0,0,5,166,10,0,0,64,0,0,266
