,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,139A045,4,5,82,6,2,3,0,1,44,2,1,3,59,33,28,1,2,2,2,2,2,284
,139A046,0,11,101,7,10,5,0,1,48,6,3,4,60,48,36,0,0,2,9,8,7,366
,139A047,0,22,105,0,4,2,1,3,16,3,0,1,76,80,20,3,6,1,15,1,10,369
,139A048,9,28,74,0,0,5,1,4,8,4,4,0,92,163,21,1,5,1,9,2,8,439
,139A049,7,21,93,0,0,1,1,3,18,1,0,0,88,151,29,0,3,2,21,0,9,448
,139A050,3,14,98,5,5,2,0,2,16,2,0,2,66,109,21,3,1,2,15,2,10,378
,139A051,0,14,75,3,0,0,0,5,12,0,0,0,53,86,18,1,2,2,15,8,3,297
,139A052,5,8,73,0,0,1,0,0,9,10,0,1,67,90,8,0,4,0,11,5,0,292
,139A053,5,6,81,5,6,4,1,1,38,3,0,1,64,57,23,3,0,1,12,3,4,318
,139A054,4,13,98,6,5,3,0,1,41,2,2,5,83,69,48,1,0,2,9,0,2,394
,139A055,2,14,89,2,4,5,0,7,34,0,0,2,67,43,41,0,1,1,4,5,5,326
,139A056,3,10,88,0,2,1,0,1,49,4,1,3,59,34,33,0,0,5,7,8,6,314
,139A057,2,2,69,4,0,2,0,5,34,0,0,3,60,26,14,0,1,0,11,5,3,241
,139A058,6,14,84,4,7,4,0,1,50,2,0,7,49,87,36,2,2,1,13,6,13,388
,139A059,2,13,88,9,10,2,0,3,66,0,1,3,68,42,24,1,5,0,8,1,3,349
,139A060,5,23,68,6,2,3,0,2,42,3,0,3,62,53,34,2,0,0,6,0,3,317
,139A061,3,16,58,2,4,1,0,4,46,4,1,10,58,41,22,2,2,1,8,2,3,288
,139A062,1,13,88,4,4,9,0,0,27,9,0,3,68,66,29,2,1,0,9,1,8,342
,139A063,1,19,84,2,3,5,0,0,32,0,0,6,54,38,29,3,0,0,9,0,7,292
,139A064,0,6,75,7,10,3,0,0,46,0,1,4,52,40,29,2,0,0,11,3,2,291
,139A065,2,8,57,0,8,3,1,0,25,1,0,0,58,35,21,0,0,2,10,3,3,237
,139A066,2,9,98,4,12,2,0,0,35,7,0,1,61,63,17,1,4,1,4,5,6,332
,139A067,2,20,91,5,6,2,0,2,59,2,0,4,56,118,35,3,1,0,12,4,21,443
,139A068,2,17,119,10,8,5,1,3,53,0,1,2,71,56,29,0,1,3,16,4,4,405
,139A069,4,20,120,11,17,7,0,0,84,0,0,5,90,74,50,1,1,2,13,3,5,507
,139A070,3,12,63,2,9,2,2,1,36,2,0,8,54,47,28,0,3,2,5,3,2,284
,139A071,1,17,73,3,9,3,0,3,35,4,1,2,75,60,23,0,5,0,5,2,10,331
,139A072,2,9,91,1,7,3,0,1,53,2,2,0,50,58,35,0,3,3,8,1,1,330
,139A073,6,8,84,5,7,3,1,2,33,1,0,5,64,62,38,3,1,1,7,4,9,344
,139A074,1,9,92,6,8,4,0,1,49,1,0,3,58,44,28,1,2,0,12,1,5,325
,139A075,7,7,81,5,3,2,0,2,38,1,0,2,61,72,23,0,0,1,8,4,2,319
,139A076,0,7,108,4,10,7,0,0,57,2,0,3,65,84,33,0,1,2,14,3,6,406
,139A077,6,14,79,10,13,5,0,0,63,2,0,8,64,64,21,1,0,0,3,1,5,359
,139A078,5,9,60,14,8,3,1,0,49,1,0,5,56,53,65,1,1,3,10,5,2,351
,139A079,0,11,53,12,6,3,0,0,42,0,0,2,42,28,21,0,1,3,12,0,3,239
,139A080,0,11,84,9,14,4,0,0,53,0,2,2,60,52,35,0,2,4,7,3,10,352
,139A081,2,15,95,20,12,5,0,0,57,3,1,7,81,35,35,0,1,0,8,4,4,385
,139A082,3,13,64,6,13,1,0,4,21,3,3,0,69,57,32,0,2,2,8,2,3,306
,139A083,7,17,92,9,8,1,0,4,35,0,0,4,85,58,18,1,2,0,10,3,9,363
,139A084,3,17,71,2,3,3,0,0,13,6,1,0,111,87,12,0,0,3,4,5,6,347
,139A085,3,24,97,1,0,1,1,0,9,3,0,0,117,153,16,1,3,3,9,1,8,450
,139A086,4,12,53,0,2,1,0,3,27,7,2,0,110,87,31,2,2,6,17,4,2,372
,139A087,3,17,52,6,6,0,1,2,9,1,0,1,35,63,18,0,1,0,5,1,5,226
,139A088,3,24,73,4,6,2,0,7,11,5,4,0,85,97,19,0,2,5,6,5,5,363
,139A089,3,26,82,0,0,0,0,2,15,2,0,1,105,152,14,0,1,1,8,0,3,415
,139A090,7,35,67,0,0,0,0,3,6,0,4,1,83,112,10,0,1,1,5,1,1,337
,139A091,3,35,46,2,0,1,0,1,7,4,0,0,65,83,23,0,2,2,8,4,2,288
,139A092,6,24,47,2,0,0,0,1,2,3,0,0,69,135,15,0,2,0,4,0,2,312
,139A093,8,32,68,0,0,5,0,1,12,1,0,0,54,152,10,0,0,2,6,2,3,356
,139A094,7,10,63,2,0,2,0,1,22,4,1,1,63,77,30,0,1,2,9,7,3,305
,139A095,2,14,78,2,0,2,0,1,8,12,1,0,59,95,27,0,1,3,8,5,10,328
,139A096,5,22,75,1,0,3,0,2,20,2,1,1,91,122,19,0,1,4,15,4,1,389
,139A097,1,12,59,3,3,5,0,0,17,0,0,1,109,80,23,0,2,2,6,4,0,327
,139A098,13,24,66,2,0,1,0,1,19,8,0,1,120,90,29,1,4,1,14,3,3,400
,139A099,3,17,80,0,2,3,0,5,23,8,2,0,100,131,26,1,1,3,15,5,3,428
,139A100,9,22,66,0,0,0,0,0,6,3,0,0,74,145,13,0,2,4,0,1,0,345
,139A101,3,15,49,1,0,1,1,1,9,9,0,0,74,90,11,0,1,0,2,1,2,270
