,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,109A009,10,6,12,49,15,40,0,0,0,0,0,47,148,134,0,1,0,1,6,469
,109A010,13,1,2,8,9,57,0,0,0,0,2,25,12,20,0,0,0,0,0,149
,109A011,1,0,3,13,0,0,0,0,0,0,0,9,78,100,0,0,3,0,0,207
,109A012,4,2,7,46,12,45,2,0,3,0,0,32,224,107,0,0,0,0,0,484
,109A013,14,3,11,31,12,9,0,0,0,0,0,24,148,60,0,0,3,0,1,316
,109A014,11,2,20,67,5,25,0,1,0,0,0,88,246,113,2,0,4,0,1,585
,109A015,12,1,15,72,11,10,0,0,0,0,0,97,165,60,0,0,3,0,1,447
,109A016,10,3,10,54,15,54,0,0,0,0,0,57,98,65,0,1,2,6,0,375
,109A017,12,0,9,52,0,6,0,0,0,0,2,50,160,85,0,0,2,0,0,378
,109A018,6,0,11,65,12,25,2,3,0,1,0,104,110,135,1,0,2,2,8,487
,109A019,7,2,18,171,0,0,0,0,0,0,0,69,278,80,0,0,0,1,1,627
,109A020A,8,2,10,65,8,4,0,2,0,0,0,50,79,259,0,0,0,1,4,492
,109A020B,6,0,10,48,12,18,4,0,0,0,0,28,102,159,3,0,3,3,1,397
,109A020C,2,1,8,23,7,13,0,1,0,0,0,42,43,103,0,0,0,0,3,246
,109A021,7,2,14,48,23,60,0,0,1,0,1,29,99,97,1,1,0,0,0,383
,109A022,10,0,10,42,2,8,0,0,0,0,0,67,72,110,0,0,2,0,0,323
,109A023,0,1,0,3,38,122,1,0,0,0,0,13,26,16,0,0,0,0,0,220
,109A024,2,4,5,9,44,149,5,0,0,0,0,9,13,28,4,1,1,0,3,277
,109A025,4,2,11,37,9,30,0,1,1,0,1,22,56,55,0,0,0,0,2,231
,109A026,4,4,12,82,12,32,1,0,0,1,2,57,119,169,0,1,3,4,6,509
,109A027,9,1,5,57,5,8,0,1,0,0,0,55,91,89,0,2,2,1,0,326
,109A028,8,0,12,43,16,35,0,1,0,0,0,102,109,154,0,0,1,3,0,484
,109A029,0,1,14,24,1,6,0,1,0,0,0,43,101,90,1,0,2,2,1,287
,109A030,4,2,10,57,7,11,0,0,0,0,0,51,76,71,0,0,2,17,1,309
,109A031,3,1,6,58,21,46,0,0,1,1,0,63,94,50,0,0,1,1,1,347
,109A032,5,1,16,127,10,5,0,0,0,0,0,102,159,49,0,0,2,4,1,481
,109A033,4,1,15,16,2,14,0,0,0,0,0,30,88,34,0,0,1,0,1,206
,109A034A,7,2,9,37,0,1,0,0,0,0,0,42,74,57,0,0,5,3,1,238
,109A034B,3,1,23,53,2,0,0,0,0,0,1,29,83,54,2,0,2,1,1,255
,109A035,1,0,2,15,11,62,1,0,0,0,0,12,21,10,0,0,0,0,1,136
,109A036,1,3,8,21,2,23,2,0,0,0,0,23,49,43,0,1,1,5,0,182
,109A037,7,0,4,52,14,48,1,0,1,0,0,43,112,151,0,0,6,1,1,441
,109A038,2,0,12,75,7,50,0,0,0,1,0,52,57,120,4,0,1,1,2,384
,109A039,1,1,5,26,10,26,0,0,0,0,0,28,88,66,0,0,2,2,1,256
,109A040,2,0,6,24,0,7,0,0,1,0,0,20,44,28,0,0,1,0,0,133
,110A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,110A001,4,0,4,17,10,0,0,1,0,0,0,17,163,97,0,0,7,0,0,320
,110A002,4,10,5,11,11,18,0,0,0,0,1,25,169,147,0,0,1,1,0,403
,110A003,0,0,2,33,0,0,0,0,1,0,0,20,213,109,0,0,13,0,0,391
,110A004,2,3,7,15,5,26,0,0,0,0,1,6,133,35,1,0,12,0,1,247
,110A005,1,0,1,6,0,0,0,0,0,0,0,7,273,89,0,1,11,0,0,389
,110A006,3,1,4,13,0,0,0,0,0,0,0,22,187,67,0,0,17,0,1,315
,110A007,1,0,2,12,0,0,0,0,1,0,0,0,190,19,0,0,44,0,3,272
,110A008,3,0,13,66,12,3,0,0,0,0,0,52,135,51,0,0,6,0,0,341
,110A009,3,0,14,59,5,3,1,1,1,0,0,55,186,77,0,0,20,1,0,426
,110A010,0,0,0,0,82,128,0,0,0,0,0,0,0,1,2,0,0,0,0,213
,110A011,0,1,0,3,123,184,8,0,2,0,0,3,0,5,3,0,0,0,0,332
,110A012,0,0,2,3,132,191,3,1,1,0,0,4,1,3,2,0,0,0,0,343
,110A013,6,9,6,38,27,59,1,0,1,0,0,38,138,53,2,0,4,4,2,388
,110A014,0,0,0,1,80,154,1,0,0,0,0,0,2,2,28,0,0,0,0,268
,110A015,1,0,1,16,21,212,1,0,0,0,0,2,78,10,4,0,4,1,2,353
,110A016,0,0,0,0,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,58
,110A017,4,5,5,89,7,0,0,0,0,0,1,44,228,95,0,0,11,4,0,493
,110A018,0,0,18,23,14,16,0,0,0,0,1,31,206,39,0,0,2,3,2,355
,110A019,0,0,0,1,83,176,1,0,0,0,0,5,34,2,4,0,0,0,0,306
,110A020A,2,1,5,43,33,45,0,0,0,0,0,29,142,14,2,0,7,1,0,324
,110A020B,4,0,2,34,56,68,0,0,0,0,0,12,50,14,0,0,5,0,0,245
,110A021,3,0,11,30,68,82,1,0,0,0,1,20,162,55,1,0,9,1,1,445
,110A022,1,0,1,22,0,0,0,0,1,0,0,8,303,26,0,0,23,2,2,389
,110A023,1,0,1,18,100,90,0,0,4,0,0,48,91,39,0,0,1,3,1,397
,110A024,2,2,6,31,14,76,0,0,0,0,0,23,222,40,1,1,11,1,0,430
,110A025,3,0,7,58,1,0,0,0,0,0,0,53,213,71,1,0,13,2,0,422
,110A026,3,0,1,27,86,132,1,0,0,0,0,10,58,18,1,0,3,0,1,341
,111A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,111A001,0,0,0,2,54,186,2,0,2,0,2,2,0,0,0,0,2,0,0,252
,111A002,0,0,0,0,62,232,0,0,0,1,1,0,0,1,40,0,0,0,0,337
,111A003,0,0,0,3,49,261,0,0,2,0,0,2,1,1,32,0,0,1,3,355
,111A004,6,0,8,9,55,290,3,0,0,0,0,25,43,11,20,1,1,0,1,473
,111A005,0,0,0,11,24,136,1,1,0,0,0,8,8,9,15,0,0,0,1,214
,111A006,1,1,6,11,103,215,0,1,2,0,2,12,0,6,13,0,1,0,0,374
,111A007,1,0,8,26,54,168,0,1,7,0,2,25,21,27,22,1,5,0,1,369
,111A008,2,0,16,24,48,190,1,2,5,1,0,12,33,13,23,0,4,0,2,376
,111A009,0,0,14,7,39,116,0,0,0,0,0,23,24,19,16,0,2,0,2,262
,111A010,0,0,3,17,75,164,2,0,1,0,2,13,2,6,16,0,0,0,3,304
,111A011,8,0,7,24,0,12,0,0,0,0,0,19,72,42,5,0,5,0,0,194
,111A012,2,2,16,25,0,1,0,0,1,0,0,35,85,80,0,0,3,1,5,256
,111A013,12,1,46,51,0,1,0,1,0,2,0,110,152,46,3,3,11,0,0,439
,111A014,10,2,58,47,0,5,0,0,0,2,0,111,135,51,0,0,19,1,3,444
,111A015,16,3,54,57,3,12,0,2,0,2,0,98,151,51,2,3,20,0,0,474
,111A016,10,2,31,16,0,0,0,0,0,0,0,62,106,127,0,0,1,0,1,356
,111A017,6,2,72,8,0,5,0,0,1,0,0,26,76,44,1,1,22,0,1,265
,111A018,14,3,20,13,0,0,1,1,0,0,0,70,159,135,1,0,4,1,4,426
,111A019,12,1,32,12,19,84,0,0,4,0,1,33,106,33,15,0,6,0,0,358
,111A020,11,0,17,16,5,8,0,0,0,0,0,37,130,136,0,0,4,0,0,364
,111A021,12,0,20,14,0,0,0,0,0,0,0,53,173,125,0,0,8,1,1,407
,111A022,3,0,2,1,25,170,2,1,1,1,0,6,10,7,12,0,2,0,0,243
,111A023,4,1,30,16,1,0,0,1,1,0,0,44,169,221,1,0,4,0,3,496
,111A024,5,2,54,62,3,7,0,2,0,1,0,90,72,45,2,0,10,0,4,359
,111A025,0,0,0,0,47,195,2,0,0,0,1,0,0,1,27,0,0,0,0,273
,111A026,1,0,3,9,60,204,0,0,1,0,4,10,22,6,20,0,3,0,0,343
,111A027,19,0,21,22,8,25,0,0,0,0,0,59,83,34,1,1,4,0,3,280
,111A028,6,0,58,22,2,20,0,0,0,0,0,34,86,30,12,0,9,0,2,281
,111A029,0,0,0,0,11,66,1,0,0,0,1,0,0,0,3,0,0,0,0,82
,111A030,0,0,3,18,56,177,1,0,3,0,4,16,20,17,19,0,1,1,4,340
,112A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,112A001,6,0,7,76,4,8,0,2,3,0,0,72,111,23,0,0,2,0,1,315
,112A002,0,0,6,9,24,228,13,1,16,1,0,11,6,6,0,0,1,0,2,324
,112A003,2,0,4,28,21,116,1,0,6,1,1,27,26,19,1,0,3,0,2,258
,112A004,3,1,9,28,10,109,0,0,2,1,0,21,39,11,3,0,2,0,3,242
,112A005,1,0,4,24,30,143,3,2,5,0,0,13,23,19,2,0,2,0,7,278
,112A006,0,0,3,20,71,307,3,0,7,0,2,9,24,11,2,0,1,0,12,472
,112A007,12,0,20,38,0,7,0,0,1,0,0,78,138,9,0,1,1,1,0,306
,112A008,14,2,20,45,0,1,0,0,77,0,0,112,296,10,1,0,2,0,12,592
,112A009A,2,1,2,15,30,166,1,0,0,1,1,35,38,8,5,0,1,0,1,307
,112A009B,9,0,21,29,11,82,2,0,11,1,2,27,86,9,2,0,0,0,1,293
,112A010A,0,0,2,8,29,182,8,0,6,0,2,6,29,33,0,0,4,0,1,310
,112A010B,1,0,0,5,50,193,3,1,2,0,1,6,6,23,2,0,0,0,0,293
,112A011,1,0,2,23,25,163,4,0,7,0,0,17,22,7,3,0,0,0,3,277
,112A012,8,1,16,20,8,62,0,1,0,0,1,45,74,22,1,0,0,0,1,260
,112A013A,19,0,27,48,5,49,0,0,1,0,0,64,189,37,0,0,2,0,2,443
,112A013B,8,0,14,40,7,48,0,0,2,0,0,36,86,31,0,0,1,0,0,273
,112A014,9,0,11,33,18,305,0,0,1,0,0,70,102,5,1,0,2,1,0,558
,112A015,1,0,0,5,36,199,0,0,5,0,1,4,0,0,2,0,1,0,2,256
,112A016A,7,1,10,20,23,144,1,0,3,0,0,18,74,6,2,0,1,0,3,313
,112A016B,1,1,15,32,18,75,1,0,3,0,0,29,122,17,0,0,0,0,0,314
,112A017A,0,0,1,7,56,325,0,0,1,0,0,16,2,8,0,0,0,0,0,416
,112A017B,0,0,5,15,33,216,3,0,4,0,0,10,9,6,2,0,1,0,1,305
,112A018,0,0,2,7,67,447,3,0,3,0,0,7,0,2,2,0,0,0,0,540
,112A019,0,0,1,3,49,337,2,0,15,0,0,4,14,1,0,0,0,0,6,432
,112A020,8,1,5,25,15,153,1,2,7,1,1,32,100,15,0,0,4,0,2,372
,112A021,5,1,8,17,30,255,2,0,2,0,0,27,96,7,2,0,0,0,2,454
