,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,034B160,4,58,1,0,0,1,28,2,62,0,133,1,1,2,0,49,95,15,3,0,14,3,472
,034B161,2,74,1,1,0,0,35,0,33,0,100,0,2,2,2,46,100,5,8,0,6,1,418
,034B162,1,21,3,2,2,0,11,2,75,0,114,2,1,1,1,12,59,4,6,0,10,0,327
,034B163,2,20,3,0,0,1,27,2,56,1,130,1,0,1,3,20,134,17,7,0,10,1,436
,034B164,1,25,1,0,1,1,20,0,77,0,150,1,1,0,7,33,78,6,0,1,13,1,417
,034B165,1,33,0,0,1,0,24,1,70,0,165,1,0,0,1,24,72,10,16,0,3,1,423
,034B166,2,37,1,0,2,0,21,3,80,0,160,0,0,1,1,37,80,7,16,0,19,0,467
,034B167,2,54,0,1,4,5,35,9,78,0,122,0,1,0,3,25,63,10,16,0,6,0,434
,034B168A,6,79,1,0,1,2,11,0,28,0,144,7,0,0,0,47,84,17,71,1,4,2,505
,034B168B,3,85,0,0,0,2,9,1,17,0,111,0,0,0,0,35,44,20,41,0,0,0,368
,034B169,1,63,0,0,0,0,5,0,3,0,28,0,0,0,3,9,32,2,11,0,0,0,157
,034B170,0,31,21,1,1,3,30,0,17,0,109,3,2,0,1,41,72,7,13,0,6,1,359
,034B171,6,17,14,3,2,0,10,1,37,0,60,4,0,4,5,11,69,7,12,1,11,0,274
,034B172,0,16,2,0,2,1,7,0,21,0,95,1,0,0,0,10,59,6,4,0,5,1,230
,034B173A,2,50,0,0,1,0,12,1,9,0,68,1,0,0,2,96,66,9,2,0,2,0,321
,034B173B,0,35,1,0,2,0,12,1,7,0,71,0,2,0,0,149,58,7,1,0,2,0,348
,034B173C,1,53,0,0,0,0,14,0,3,0,46,0,0,0,2,109,33,8,5,0,2,0,276
,034B174,1,48,1,0,1,0,16,0,10,0,106,0,0,0,0,27,211,2,5,0,8,0,436
,034B175A,4,28,0,0,0,3,15,0,16,0,148,0,0,1,1,17,120,11,5,0,8,3,380
,034B175B,2,11,1,0,0,1,7,4,32,0,133,1,0,3,1,34,122,4,3,0,11,0,370
,034B175C,2,16,2,0,0,4,7,0,13,0,52,0,0,0,3,5,55,7,5,0,5,0,176
,034B176,1,138,0,0,0,0,11,1,13,0,152,5,1,1,1,15,60,2,1,0,5,0,407
,034B177,4,84,0,0,0,0,7,0,0,0,67,0,0,0,1,27,20,2,0,0,2,0,214
,034B178,3,21,4,0,1,0,39,0,41,2,167,0,2,2,4,21,87,6,16,0,21,2,439
,034B179,4,36,2,0,1,7,24,3,29,0,174,2,2,0,1,27,80,7,16,0,9,2,426
,034B180,5,31,2,0,1,1,32,3,27,0,183,0,1,0,4,20,93,5,10,0,15,2,435
,034B181,4,24,4,2,1,8,30,2,35,1,158,3,2,0,2,31,107,10,13,1,19,2,459
,034B182,2,15,3,0,6,5,23,3,40,1,202,2,0,2,3,21,90,10,16,0,12,2,458
,034B183,1,25,0,0,1,6,25,0,24,0,137,0,2,1,3,21,67,6,11,0,10,1,341
,034B184,1,40,1,0,2,2,18,0,34,0,197,2,2,2,4,47,83,9,9,0,17,1,471
,034B185,5,37,0,0,0,0,25,0,33,0,189,0,1,0,1,33,87,15,9,0,4,0,439
,034B186,1,83,2,1,0,0,20,0,13,0,184,5,1,0,2,27,88,6,1,0,4,1,439
,034B187A,1,22,0,1,0,0,39,2,13,0,212,0,2,1,2,39,78,13,9,0,5,1,440
,034B187B,6,47,0,0,0,0,40,1,19,0,170,0,6,0,0,38,86,12,10,0,10,0,445
,034B188,1,7,69,0,0,0,4,0,10,0,28,5,1,1,0,11,22,0,2,0,4,1,166
,034B189,1,23,67,0,0,0,11,0,14,0,93,6,1,1,3,8,30,8,3,0,5,0,274
,034B190,0,8,59,0,0,4,12,1,3,0,52,3,0,0,1,5,26,0,1,0,1,5,181
,034B191,1,16,35,0,1,2,6,0,4,0,110,5,1,2,0,25,76,4,10,0,3,0,301
,034B192,3,32,62,0,0,0,14,0,6,0,108,5,0,1,0,12,32,1,2,0,3,1,282
,034B193,10,42,0,0,0,1,42,0,43,0,175,2,4,0,1,36,102,14,12,0,18,1,503
,034B194,3,27,1,0,2,2,35,3,35,0,163,1,3,0,1,18,71,3,6,0,12,2,388
,034B195A,3,35,6,0,0,4,15,1,38,0,177,4,5,1,0,21,74,12,20,0,21,0,437
,034B195B,3,20,1,0,3,2,13,1,51,1,101,0,0,1,2,15,90,6,17,0,18,0,345
,034B196,3,16,3,1,0,4,24,0,25,0,146,3,2,0,3,27,89,5,14,1,17,3,386
,034B197,5,25,6,0,1,3,17,1,49,1,142,3,2,0,3,22,91,8,17,1,4,0,401
,034B198,10,21,6,0,0,3,15,1,42,1,136,6,1,1,4,22,76,16,6,0,18,2,387
,034B199,7,28,3,0,1,0,29,0,24,0,161,1,1,0,0,29,57,7,3,0,21,1,373
,034B200,3,30,0,0,0,0,17,1,44,1,149,1,1,0,2,25,82,9,16,1,16,2,400
,034B201,6,19,4,0,0,0,24,0,27,2,134,4,2,1,4,29,74,6,7,1,12,1,357
,034B202,3,27,4,0,1,3,15,0,45,3,152,2,0,0,2,27,97,13,15,0,12,2,423
,034B203,3,20,1,2,0,3,24,1,24,1,145,0,0,0,1,22,102,4,6,0,5,2,366
,034B204,3,24,1,0,0,8,28,1,29,0,136,6,0,13,1,32,69,1,18,0,15,0,385
,034B205,2,35,6,1,1,1,39,5,22,0,141,1,1,0,2,43,95,13,12,0,9,5,434
