,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,029B109,1,0,0,0,9,0,0,0,1,1,25,0,17,0,0,0,0,5,12,16,0,0,0,0,87
,029B110,0,0,0,0,38,0,0,0,1,12,22,0,39,0,0,0,0,13,27,1,0,0,2,0,155
,029B111,10,0,0,0,62,1,0,0,0,24,41,0,130,0,1,0,0,10,126,17,9,0,7,0,438
,029B112,15,0,3,1,47,2,0,0,1,12,85,0,80,0,0,0,5,25,136,17,1,0,5,0,435
,029B113,1,1,0,0,45,1,0,0,1,11,29,0,106,4,0,0,0,14,95,7,6,0,10,0,331
,029B114A,4,0,1,0,14,7,0,0,3,6,16,0,76,2,1,0,2,15,45,1,1,0,8,0,202
,029B114B,3,0,0,4,30,8,0,0,0,19,16,0,88,0,0,0,1,9,66,8,2,0,5,0,259
,029B115,1,0,0,0,39,0,0,0,0,10,93,0,95,0,0,0,0,4,92,6,1,0,10,0,351
,029B116,1,0,0,1,30,4,0,0,0,16,27,1,101,0,0,1,5,18,63,8,3,0,17,0,296
,029B117,2,0,0,0,53,12,0,0,2,22,54,0,145,1,0,0,7,13,95,26,12,0,8,0,452
,029B118,0,1,2,0,19,22,0,0,3,6,19,0,66,5,0,0,2,4,42,13,3,0,6,0,213
,029B119,6,0,3,1,45,18,0,0,6,17,37,1,98,3,1,0,0,21,122,12,5,1,22,0,419
,029B120,6,0,1,1,16,7,0,0,7,21,47,0,111,5,1,0,3,13,84,4,5,1,7,0,340
,029B121,3,0,0,0,36,16,0,0,2,24,43,0,91,1,0,0,2,17,144,10,8,0,8,0,405
,029B122,3,1,0,0,51,0,0,0,3,15,54,0,114,1,1,0,2,16,127,5,10,0,6,0,409
,029B123,3,0,0,1,44,0,0,0,5,16,29,0,178,1,1,0,2,21,128,10,7,0,10,0,456
,029B124,2,0,3,0,29,12,0,0,0,12,12,0,42,2,2,0,0,14,52,1,1,0,2,0,186
,029B125,4,1,2,0,43,22,0,0,1,10,23,0,65,8,0,0,3,5,69,4,11,0,6,0,277
,029B126,3,1,2,1,48,4,0,0,3,18,48,0,130,4,1,0,3,9,104,4,8,0,9,0,400
,029B127,0,1,3,0,2,111,0,0,0,0,1,0,6,3,0,0,0,2,9,0,0,0,0,0,138
,029B128,2,0,0,0,23,0,0,0,0,11,20,0,31,0,0,0,1,2,54,8,3,0,1,0,156
,029B129,2,0,3,0,20,19,0,0,1,2,24,0,46,2,0,0,1,10,55,12,2,0,6,0,205
,029B130,3,0,1,0,43,0,0,0,1,19,46,0,130,2,1,0,1,47,172,7,5,0,8,0,486
,054B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,054B001,0,0,0,1,5,0,0,0,0,2,33,0,119,0,0,0,0,3,28,0,0,0,0,0,191
,054B002,0,0,5,0,2,76,0,0,1,2,1,0,5,47,0,0,0,0,12,0,0,0,0,0,151
