,BM,BORCI ZA NOVU POLITIKU,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DEURIĆ ĐORĐE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,103B004,4,4,0,0,6,9,0,8,15,167,0,0,0,2,29,209,11,0,1,1,466
,103B005,4,0,0,0,17,2,0,1,22,153,0,0,0,0,24,185,9,1,1,0,419
,103B006,0,2,0,1,16,0,1,3,19,120,1,0,0,0,30,222,1,3,2,0,421
,103B007,0,2,0,0,0,0,0,1,46,100,0,0,0,1,18,51,1,0,1,0,221
,103B008,0,3,0,0,2,73,0,1,10,56,4,0,0,0,13,79,1,0,0,0,242
,103B009,1,0,0,0,2,3,0,3,12,170,1,0,0,0,29,226,22,6,3,0,478
,103B010,1,0,0,0,2,25,0,0,29,44,1,0,0,0,7,125,2,0,0,0,236
,103B011,0,0,0,0,5,0,0,1,3,85,0,0,0,0,4,112,3,0,0,0,213
,103B012,0,0,0,0,13,0,0,6,9,162,0,1,0,0,10,141,7,0,0,0,349
,103B013,0,0,0,1,9,0,0,0,6,103,0,0,0,1,15,103,7,0,0,0,245
,103B014,0,0,0,0,0,0,0,1,5,104,0,0,0,1,8,104,5,1,1,0,230
,103B015,0,3,0,0,0,47,0,0,0,22,5,0,0,1,0,0,0,0,0,1,79
,103B016,0,3,0,0,0,79,0,0,1,7,8,0,0,0,5,0,4,0,0,2,109
,103B017,2,1,0,1,12,4,0,6,38,208,0,0,0,0,21,302,15,3,1,0,614
,104B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,104B001,0,0,0,0,49,0,1,56,72,85,0,0,0,0,26,77,29,0,0,0,395
,104B002,0,14,0,0,0,125,0,0,0,0,52,1,0,0,0,3,0,0,0,0,195
,104B003,0,0,0,0,11,25,0,7,20,20,9,0,0,1,2,104,20,0,0,0,219
,104B004,0,0,0,0,30,2,0,24,39,16,4,0,0,0,0,99,31,0,0,0,245
,104B005,0,0,0,0,22,0,0,28,19,14,0,0,0,0,0,49,22,0,0,0,154
,104B006,1,2,1,0,16,13,0,34,24,26,5,0,0,0,3,26,63,0,0,0,214
,104B007,1,0,0,0,6,3,0,19,89,53,0,0,0,0,1,31,61,0,0,0,264
,104B008,0,0,0,0,3,0,0,5,25,54,0,1,0,1,0,24,17,0,0,0,130
,104B009,2,7,0,0,23,10,0,30,95,53,5,0,0,0,8,75,24,1,3,0,336
,104B010,3,0,0,0,51,20,0,36,104,73,1,0,0,0,21,90,54,1,3,0,457
,104B011,0,0,1,0,8,8,0,69,45,37,3,0,0,0,3,50,40,0,0,0,264
,104B012A,0,0,0,0,38,4,0,38,32,68,0,1,0,0,7,72,20,0,2,0,282
,104B012B,2,1,0,1,27,0,0,34,26,46,0,0,0,0,6,47,33,2,2,0,227
,104B013,2,1,0,0,41,4,0,46,46,63,1,1,0,0,7,77,28,1,2,0,320
,104B014,1,0,0,0,39,1,0,43,75,77,1,0,0,0,26,84,34,3,2,0,386
,104B015,2,0,1,0,42,7,0,57,71,75,4,1,1,0,8,89,44,0,5,0,407
,104B016,0,0,0,0,19,37,0,23,31,25,11,0,0,0,6,26,45,1,0,0,224
,104B017,0,0,0,0,11,4,0,4,32,8,1,0,0,0,1,70,11,0,0,0,142
,104B018,0,0,0,0,28,1,0,23,24,37,0,0,0,0,4,60,26,2,1,0,206
,104B019,4,2,1,0,42,2,0,38,68,63,0,0,0,0,15,69,31,4,2,1,342
,104B020,0,3,0,0,27,54,0,47,50,69,14,2,0,0,0,62,40,0,0,0,368
,104B021,0,3,0,0,4,63,0,6,9,6,8,0,0,0,2,14,13,0,0,0,128
,104B022,0,13,0,0,8,149,0,3,27,13,56,0,0,0,0,72,11,0,0,0,352
,104B023,0,4,0,0,12,29,0,2,7,9,5,0,0,0,1,66,6,0,0,0,141
,104B024A,4,0,1,0,50,3,0,55,71,66,0,0,0,0,5,80,68,5,3,0,411
,104B024B,1,1,0,1,32,0,0,49,80,83,0,0,0,1,13,76,54,0,0,0,391
,104B025,0,0,0,0,6,0,0,17,33,19,0,0,0,0,1,24,7,0,0,0,107
,104B026,3,4,1,0,1,113,0,0,3,1,50,1,0,0,0,4,0,0,0,0,181
,104B027,0,0,0,0,27,0,0,19,19,28,0,0,0,0,3,35,7,0,0,0,138
,104B028,2,1,0,0,11,7,0,14,46,25,4,0,0,1,13,40,21,0,1,0,186
,104B029,1,6,0,1,24,29,0,26,42,47,4,0,0,0,3,49,21,1,2,0,256
,104B030,0,7,0,0,0,153,0,0,3,0,32,0,0,0,0,0,0,0,0,0,195
,104B031,0,2,0,0,0,65,0,0,1,0,45,0,0,0,0,0,0,0,0,2,115
,105B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,105B001,0,2,0,0,14,47,0,2,1,45,20,1,0,0,4,15,10,0,0,0,161
,105B002,0,4,0,0,32,74,1,4,3,101,26,0,0,0,2,80,20,1,2,0,350
,105B003A,1,0,0,0,24,20,0,14,10,117,6,0,0,1,4,64,17,2,0,0,280
,105B003B,0,0,1,0,32,12,0,7,16,136,13,2,0,1,14,57,19,2,1,0,313
,105B003C,0,2,0,0,12,7,0,4,4,59,0,0,1,0,10,25,4,3,1,0,132
,105B004,0,0,0,0,0,32,0,2,2,20,3,0,0,0,3,15,2,2,0,0,81
,105B005,0,2,0,0,29,50,0,12,17,77,9,0,0,0,4,73,15,1,2,0,291
,105B006,0,0,0,0,1,92,0,0,1,0,11,0,0,0,0,0,2,0,0,0,107
,105B007A,0,4,0,0,15,104,0,30,8,46,15,0,0,0,3,32,9,0,1,0,267
,105B007B,0,2,1,0,21,56,0,23,8,24,4,0,1,0,2,37,12,8,0,1,200
,105B008,0,0,0,0,7,263,0,0,0,1,69,0,0,0,0,20,13,0,0,0,373
,105B009,0,1,0,0,2,163,0,0,2,38,25,0,0,0,0,2,34,0,0,0,267
,105B010,0,0,0,0,6,23,0,7,7,15,4,0,0,0,3,41,29,0,0,0,135
,105B011,0,2,0,0,5,43,0,6,0,139,3,0,1,0,0,80,4,0,0,0,283
,105B012A,0,4,0,0,11,18,0,15,3,118,6,0,0,0,2,65,22,0,0,0,264
,105B012B,0,2,1,0,12,3,0,17,4,175,3,0,0,1,3,62,15,0,1,1,300
,105B012C,0,1,2,0,3,14,0,4,0,77,1,0,0,0,1,41,6,1,1,0,152
,105B013,0,0,0,0,4,7,0,9,0,76,6,0,0,1,0,66,10,0,0,0,179
,105B014,0,0,0,0,5,20,0,4,0,126,2,0,0,0,1,43,5,0,2,0,208
,105B015,0,0,1,0,10,4,0,11,17,209,0,0,0,0,0,81,9,4,2,0,348
,105B016,0,0,0,0,1,8,0,9,0,9,1,0,0,0,1,25,4,0,0,0,58
,105B017,0,0,0,0,0,102,0,0,0,0,13,0,0,0,0,0,0,0,0,0,115
,105B018,0,1,0,1,8,29,0,0,0,56,1,0,0,0,0,23,6,0,0,0,125
,105B019,0,0,0,0,0,35,0,0,0,1,14,0,0,0,0,0,0,0,0,0,50
,105B020,0,0,0,0,18,1,0,0,1,18,1,0,0,0,0,22,1,1,0,0,63
,105B021,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
,105B022,0,0,0,0,1,2,0,23,4,116,7,1,0,0,0,24,3,0,0,0,181
,185B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,185B001,2,0,0,0,64,0,0,1,24,244,0,0,0,1,25,99,9,2,1,1,473
,185B002,0,1,0,0,86,0,0,2,48,226,0,0,0,2,29,110,7,1,1,0,513
,185B003,0,1,0,1,60,0,0,2,24,184,0,0,0,0,13,94,6,0,2,0,387
,185B004,0,0,0,0,45,0,0,1,19,121,0,0,0,0,7,64,11,0,1,0,269
,185B005,0,0,0,0,26,1,0,1,22,79,8,0,0,0,18,40,1,7,0,0,203
,185B006,0,0,0,0,40,3,0,0,21,150,0,0,0,0,19,69,7,3,1,0,313
,185B007,1,0,0,0,21,16,0,1,16,143,0,0,0,1,33,43,4,0,0,0,279
,185B008,0,0,0,0,8,0,0,0,15,87,1,0,0,1,0,24,0,0,0,0,136
,185B009,0,3,0,1,13,99,1,0,20,202,8,0,1,0,39,51,5,1,1,0,445
,185B010,0,4,0,0,0,65,0,0,6,26,6,0,0,0,0,12,2,0,0,0,121
,185B011,1,0,1,0,100,1,0,0,18,273,0,0,0,0,26,102,2,4,0,1,529
,185B012,0,13,1,0,0,198,0,1,1,3,35,0,0,0,4,9,0,1,0,2,268
,185B013,0,0,0,0,84,1,0,2,37,239,0,0,0,1,41,137,12,5,0,0,559
,185B014,0,1,2,0,24,0,0,4,10,102,0,0,0,0,30,86,5,1,2,0,267
