,BM,BEŠIĆ SENAD - BEŠIĆ SENAD,BLAŽANOVIĆ IVO - DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,ČENAJ PETRIT - ČENAJ PETRIT,DODIK MILORAD - SNSD-DNS-SP,HORIĆ AMIR - BPS-SEFER HALILOVIĆ,"JERKOVIĆ JOSIP - HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",JOVIČIĆ DRAGOMIR - STRANKA PRAVEDNE POLITIKE,MARKOVIĆ VLADAN - MARKOVIĆ VLADAN,MUHAREMOVIĆ INDIRA - PRVA STRANKA,NEŠKOVIĆ MLADEN - NEŠKOVIĆ MLADEN,PALIĆ SAMIR - SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SALKIĆ RAMIZ - DOMOVINA,SEDLO TOMA - STRANKA PRAVDE I POVJERENJA,STOJAKOVIĆ SANDA - KOMUNISTIČKA PARTIJA,STOJANOVIĆ MILKO - STOJANOVIĆ MILKO,SULJKANOVIĆ ENES - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,TADIĆ OGNJEN - SAVEZ ZA PROMJENE,TOKIĆ SEJFUDIN - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,VLAJKI EMIL - PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,Ukupno
,144B007,0,0,1,271,0,0,6,1,0,1,0,2,0,0,2,0,298,0,8,590
,144B008,0,0,0,149,0,0,3,0,0,3,0,0,0,0,0,0,207,0,2,364
,144B009,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,95
,144B010,0,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0,15,0,1,44
,144B011,0,0,0,76,0,0,3,0,0,2,0,0,0,0,0,0,55,0,0,136
,144B012,2,0,0,227,0,0,4,0,0,1,1,0,1,0,1,0,234,0,0,471
,144B013,0,0,0,67,0,0,2,0,0,0,0,0,1,0,1,1,47,2,0,121
,144B014A,0,0,0,263,0,0,2,2,0,4,0,2,0,0,0,0,254,2,1,530
,144B014B,0,1,0,178,0,0,2,0,0,1,0,0,0,1,0,1,208,4,3,399
,144B014C,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,215
,144B015,0,0,0,175,0,0,3,1,0,3,0,0,0,0,0,0,178,0,2,362
,144B016,0,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,102,2,0,173
,144B017,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,57,0,1,89
,144B018,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,87
,144B019,0,0,0,10,0,0,1,0,0,0,0,3,0,0,0,0,21,1,0,36
,144B020,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,20,0,1,31
,144B021,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,20
,144B022,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,37
,144B023,0,0,0,199,1,0,3,3,0,1,0,1,0,1,3,0,235,2,1,450
,144B024,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,58
,144B025,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,20
,144B026,2,0,0,187,0,0,2,0,0,5,2,1,0,0,0,0,194,2,4,399
,144B027,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,53
,144B028,0,0,0,222,0,0,3,1,0,1,0,0,0,0,2,0,220,1,4,454
