"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","LIBERALNO DEMOKRATSKA STRANKA BIH","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","DEMOKRATSKA FRONTA","SAVEZ ZA NOVU POLITIKU","SRS-SRPSKA U SIGURNE RUKE","POKRET ZA BOLJE BRČKO-ĐAPO MIRSAD","BRČANSKI DEMOKRATSKI POKRET (BDP)","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","HRVATSKA SELJAČKA STRANKA - BRAĆA RADIĆ BRČKO DISTRIKT BIH",PDP-NS,"KOALICIJA SDS-NDP"
200C042,0,6,11,3,0,49,20,0,0,0,59,4,21,1,4,0,1,7,36,0,6,15,68
200C043,0,22,10,5,0,7,38,0,2,0,29,1,24,0,53,0,0,4,45,0,7,11,35
200C044,0,0,0,41,0,9,1,0,0,0,3,0,0,0,0,0,0,0,3,0,30,4,9
200C045,0,0,0,223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,1,0
200C046,0,0,0,0,0,12,0,0,0,5,22,0,0,0,0,0,1,0,5,0,0,16,47
200C047,0,0,0,1,0,6,0,0,1,0,100,0,0,2,1,0,3,0,6,0,1,107,115
200C048A,1,75,21,1,0,0,197,0,0,0,0,5,14,0,8,0,0,26,31,0,10,0,0
200C048B,0,86,30,2,0,0,195,0,5,0,0,0,9,0,10,0,0,8,49,0,0,0,0
200C048C,0,57,12,0,0,0,226,0,0,0,0,0,10,0,2,0,0,20,46,0,4,0,0
200C049,0,0,0,209,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,86,0,0
200C050A,1,0,0,3,0,85,1,4,0,1,109,0,0,1,2,0,0,2,40,0,0,43,104
200C050B,0,0,0,4,0,79,0,3,0,1,92,0,0,5,0,0,3,2,51,0,0,55,96
200C050C,0,0,0,0,0,42,0,5,0,0,119,0,0,3,0,0,1,0,55,0,1,29,83
200C051,0,1,1,10,0,46,0,7,0,1,106,0,1,0,0,0,1,0,12,0,2,33,86
200C052,0,3,3,1,0,25,7,8,0,1,56,0,3,3,7,0,6,6,14,0,1,38,96
200C053,1,0,16,7,0,38,15,10,1,2,83,0,3,3,24,0,0,2,33,0,9,48,111
200C054,1,3,31,3,0,23,14,3,1,0,70,0,13,3,23,0,2,5,39,0,4,35,70
200C055,0,3,25,1,0,50,5,2,2,0,86,0,3,0,3,0,1,6,34,0,1,40,130
200C056,0,0,0,10,0,21,0,1,0,0,165,0,0,1,0,0,4,0,5,0,2,41,123
200C057,0,0,4,3,0,33,0,3,2,0,172,0,1,1,0,0,4,1,24,0,2,101,218
200C058,1,10,25,11,0,20,121,0,1,0,36,0,16,1,29,0,0,7,21,0,2,19,29
200C059,0,8,21,4,0,6,70,0,2,0,2,2,10,1,30,0,0,9,28,0,8,0,1
200C060,0,16,38,2,0,1,62,0,18,0,0,1,30,0,23,0,0,18,28,0,4,4,2
200C061,3,31,32,6,1,0,76,0,8,0,1,0,66,0,34,0,0,16,29,0,3,1,2
