,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,133A040,4,16,107,2,3,1,1,7,8,1,0,2,85,73,13,5,1,4,7,9,349
,133A041,3,17,102,2,0,1,0,1,21,0,0,5,84,82,18,5,2,2,3,2,350
,133A042,7,14,110,3,10,3,0,12,19,0,1,5,68,81,27,1,0,7,2,2,372
,133A043,1,7,95,2,2,3,0,4,29,3,0,0,61,75,22,3,2,1,4,1,315
,133A044,1,32,168,5,1,2,1,7,29,1,2,1,81,74,35,2,1,5,1,2,451
,133A045,5,29,137,7,2,6,0,3,28,3,3,5,80,71,35,3,1,4,1,2,425
,133A046,1,17,128,3,5,5,0,7,22,0,0,0,99,61,27,1,2,3,4,3,388
,133A047,2,16,118,3,4,7,0,9,25,4,2,5,118,87,24,1,4,4,7,5,445
,133A048,6,14,102,1,2,1,0,0,16,1,0,1,89,66,12,8,1,7,5,2,334
,133A049,1,15,88,8,7,3,0,3,27,0,0,5,83,61,26,3,2,9,1,4,346
,133A050,5,14,118,9,8,5,1,7,19,2,1,2,69,88,20,5,4,7,4,2,390
,133A051,6,15,112,5,7,5,0,5,21,0,0,3,87,88,28,6,3,3,5,5,404
,133A052,5,22,114,5,7,5,0,2,26,1,0,2,60,48,14,2,2,7,7,5,334
,133A053,4,13,107,1,4,1,1,5,20,2,0,1,82,64,25,1,4,4,5,2,346
,133A054,1,13,151,3,13,4,0,2,18,2,0,3,87,60,25,4,1,7,11,6,411
,133A055,7,16,120,1,8,5,0,4,20,0,0,1,80,64,27,2,1,6,7,1,370
,133A056,0,13,102,1,1,0,0,2,16,6,0,0,48,83,43,3,1,5,4,5,333
,133A057,2,14,92,3,2,0,0,0,18,0,0,5,64,69,26,1,1,5,3,4,309
,133A058,4,14,117,2,4,3,0,1,30,0,0,2,77,79,24,2,2,9,4,4,378
,133A059,0,15,115,2,4,1,0,1,30,1,2,1,66,54,38,8,3,3,7,0,351
,133A060,3,22,110,13,1,4,0,3,43,0,0,0,83,100,29,6,3,8,11,5,444
,133A061,0,21,116,3,4,4,0,3,31,1,0,1,71,62,41,2,0,3,5,4,372
,133A062,9,17,137,2,2,3,1,7,30,0,0,1,59,81,39,5,7,3,7,3,413
,133A063,2,20,138,6,3,4,1,1,38,5,0,0,78,122,36,3,1,6,6,6,476
,133A064,5,19,151,2,0,4,0,2,30,0,0,1,77,87,25,0,4,5,5,3,420
,133A065,4,26,151,4,2,0,1,5,28,2,1,1,93,92,35,8,0,10,13,7,483
,133A066,6,27,165,6,1,1,1,2,34,0,2,3,91,136,33,5,0,6,5,2,526
,133A067,6,24,105,3,1,2,0,2,34,2,1,4,83,59,41,0,1,7,5,2,382
,133A068,3,12,108,3,4,3,0,1,32,1,3,4,83,72,55,4,6,0,4,6,404
,133A069,3,9,120,2,5,5,0,4,25,1,0,5,50,67,19,1,0,3,7,3,329
,133A070,2,7,126,1,4,5,0,0,37,2,3,6,66,61,36,3,3,3,5,3,373
,133A071,3,11,87,3,2,7,0,5,30,0,1,4,58,61,50,4,3,12,4,2,347
,133A072,2,16,128,1,2,4,0,1,33,2,0,6,79,78,37,1,2,5,6,2,405
,133A073,2,17,107,5,1,3,1,1,15,0,1,2,61,85,47,1,0,3,6,4,362
,133A074,3,16,109,1,3,0,0,1,22,2,0,3,45,59,27,0,0,10,2,2,305
,133A075,3,15,116,5,3,6,0,7,34,0,4,5,66,114,42,2,0,4,3,9,438
,133A076,5,12,77,2,5,5,1,1,27,0,2,2,78,50,32,7,5,3,2,5,321
,133A077,3,18,138,6,7,3,1,0,20,0,1,2,81,69,27,2,7,6,4,6,401
,133A078,4,18,122,3,4,2,0,6,30,4,0,2,80,89,29,0,2,7,3,4,409
,133A079,1,17,139,6,6,9,0,8,39,1,1,5,73,88,23,2,1,10,9,5,443
,133A080,1,12,97,7,4,2,0,2,22,0,3,2,68,70,20,1,1,3,2,5,322
,133A081,0,15,106,4,2,10,0,12,30,1,1,5,85,63,36,0,0,4,9,3,386
,133A082,0,23,84,6,3,5,0,8,39,0,2,15,76,59,30,2,0,6,2,3,363
,133A083,4,34,148,4,3,1,0,4,39,0,2,9,92,59,21,1,1,7,1,3,433
,133A084,4,26,108,0,2,1,0,1,20,1,0,0,85,64,34,0,2,4,7,6,365
,133A085,4,16,168,2,0,5,0,3,25,4,1,2,74,77,46,6,0,6,9,4,452
,133A086,4,21,122,3,5,4,0,12,41,1,0,3,74,64,43,5,1,10,3,7,423
