"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"007B005",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,27,2014,parbih,parbih_1_521,0
"007B005",SOCIJALISTIČKA PARTIJA,7,2014,parbih,parbih_1_521,0
"007B005",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),6,2014,parbih,parbih_1_521,0
"007B005",STRANKA PRAVEDNE POLITIKE,4,2014,parbih,parbih_1_521,0
"007B005",KOMUNISTIČKA PARTIJA,2,2014,parbih,parbih_1_521,0
"007B005",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,2,2014,parbih,parbih_1_521,0
"007B005","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",1,2014,parbih,parbih_1_521,0
"007B005",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B006",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,121,2014,parbih,parbih_1_521,0
"007B006",SDS-SRPSKA DEMOKRATSKA STRANKA,81,2014,parbih,parbih_1_521,0
"007B006",SDA - STRANKA DEMOKRATSKE AKCIJE,60,2014,parbih,parbih_1_521,0
"007B006",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,47,2014,parbih,parbih_1_521,0
"007B006",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,23,2014,parbih,parbih_1_521,0
"007B006",PDP-NDP,18,2014,parbih,parbih_1_521,0
"007B006",SOCIJALISTIČKA PARTIJA,5,2014,parbih,parbih_1_521,0
"007B006",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),3,2014,parbih,parbih_1_521,0
"007B006",STRANKA PRAVEDNE POLITIKE,2,2014,parbih,parbih_1_521,0
"007B006",KOMUNISTIČKA PARTIJA,1,2014,parbih,parbih_1_521,0
"007B006",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B006",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B006","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B007",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,263,2014,parbih,parbih_1_521,0
"007B007",SDS-SRPSKA DEMOKRATSKA STRANKA,142,2014,parbih,parbih_1_521,0
"007B007",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,75,2014,parbih,parbih_1_521,0
"007B007",PDP-NDP,54,2014,parbih,parbih_1_521,0
"007B007",SOCIJALISTIČKA PARTIJA,8,2014,parbih,parbih_1_521,0
"007B007",STRANKA PRAVEDNE POLITIKE,4,2014,parbih,parbih_1_521,0
"007B007",SDA - STRANKA DEMOKRATSKE AKCIJE,3,2014,parbih,parbih_1_521,0
"007B007",SRPSKA NAPREDNA STRANKA - SNS,3,2014,parbih,parbih_1_521,0
"007B007",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,2,2014,parbih,parbih_1_521,0
"007B007",KOMUNISTIČKA PARTIJA,2,2014,parbih,parbih_1_521,0
"007B007",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),1,2014,parbih,parbih_1_521,0
"007B007",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B007","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
