,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,139A055,7,9,66,2,2,0,1,9,0,0,7,43,3,0,0,0,2,52,52,41,0,0,3,2,1,0,14,7,9,3,335
,139A056,8,14,70,0,2,0,0,1,0,0,1,54,0,0,0,1,0,51,36,29,1,0,1,3,5,0,8,9,9,11,314
,139A057,5,7,64,1,2,1,0,4,0,0,4,42,2,0,0,0,2,51,23,17,0,0,3,0,1,1,4,5,7,3,249
,139A058,23,15,76,2,9,0,0,7,0,0,1,56,3,0,0,0,6,43,80,39,2,0,4,1,1,0,9,6,6,9,398
,139A059,8,13,71,10,7,0,0,4,0,1,2,71,3,0,0,0,1,63,40,26,1,0,5,2,0,0,8,6,3,4,349
,139A060,9,14,69,4,3,0,0,6,0,0,4,46,1,0,0,0,2,42,44,37,0,0,1,0,0,0,4,15,10,0,311
,139A061,5,12,45,0,3,0,0,1,1,0,5,48,0,0,0,0,7,65,34,18,2,0,4,0,4,0,8,8,10,6,286
,139A062,12,13,69,6,0,0,0,17,0,0,1,34,14,0,0,0,4,46,63,27,1,0,0,0,2,0,10,16,1,6,342
,139A063,5,17,72,0,2,1,0,4,0,0,0,44,1,0,0,0,3,48,31,26,2,0,0,3,1,0,5,5,4,17,291
,139A064,6,6,63,5,10,0,0,1,0,0,2,47,2,0,0,0,0,44,31,32,4,0,3,1,0,0,6,10,15,9,297
,139A065,2,6,53,0,9,0,0,1,0,0,1,40,3,1,0,0,0,42,41,22,0,0,0,0,0,0,4,0,6,6,237
,139A066,15,7,58,3,12,0,0,8,0,0,1,55,3,1,0,0,0,51,47,23,0,0,4,0,1,0,4,7,8,12,320
,139A067,17,13,72,3,8,0,0,3,0,0,3,86,4,0,0,0,1,38,106,43,1,0,5,0,2,0,4,10,6,13,438
,139A068,5,14,84,6,9,0,0,6,1,0,5,87,8,1,0,1,2,41,52,28,0,0,3,1,0,0,9,12,16,9,400
,139A069,11,22,101,9,15,0,1,9,0,0,0,99,0,0,0,1,3,70,67,55,0,0,5,1,2,0,3,9,14,4,501
,139A070,9,11,40,1,9,0,0,3,0,0,0,49,3,0,0,0,6,42,38,27,0,1,5,2,2,0,2,13,11,7,281
,139A071,20,25,54,3,8,0,1,7,0,0,4,41,7,0,0,1,2,56,55,18,0,0,8,0,1,0,6,5,2,6,330
,139A072,15,8,74,1,7,0,0,7,0,0,0,69,1,0,0,1,0,37,48,26,0,0,10,0,3,0,6,9,4,8,334
,139A073,7,17,62,5,8,0,0,3,0,0,1,38,3,0,0,1,4,63,50,41,2,0,2,1,2,0,9,8,7,16,350
,139A074,11,9,86,4,5,0,0,9,0,0,1,58,3,0,0,1,2,44,35,30,1,0,3,0,1,0,4,8,3,2,320
,139A075,16,2,64,2,4,0,0,6,0,0,1,46,3,0,0,0,3,55,61,22,0,0,4,2,0,1,10,5,4,5,316
,139A076,6,7,95,2,8,0,0,7,0,0,5,73,6,0,0,0,1,50,66,34,0,0,3,1,3,0,11,10,9,7,404
,139A077,17,16,66,8,12,0,1,3,0,0,0,68,5,0,0,0,8,47,52,20,0,0,4,1,2,0,4,10,9,4,357
,139A078,6,17,49,13,9,0,1,7,1,1,0,58,2,0,0,3,5,34,51,61,0,2,3,1,2,0,9,5,8,5,353
,139A079,4,4,54,10,5,0,0,6,0,1,1,47,1,0,0,1,1,36,23,22,0,0,0,0,3,0,7,10,2,2,240
,139A080,4,12,70,6,15,0,0,6,0,0,1,80,2,0,1,0,2,44,43,31,0,0,1,0,5,0,2,4,9,11,349
,139A081,7,10,75,19,13,0,0,11,0,0,1,72,2,0,0,2,4,60,38,41,0,1,2,3,1,0,5,8,8,7,390
,139A082,5,11,50,3,13,0,0,0,0,0,4,25,7,0,0,1,0,56,58,42,0,0,0,1,3,0,8,6,6,2,301
,139A083,13,16,69,10,4,0,0,2,0,0,3,37,2,0,0,0,3,69,52,30,1,0,2,4,1,0,16,9,11,5,359
,139A084,12,15,62,1,3,0,0,6,0,0,1,13,10,0,0,0,0,94,78,18,0,1,1,1,4,1,7,2,3,10,343
,139A085,14,32,77,1,0,2,0,3,1,0,0,11,6,0,0,0,0,89,139,23,0,0,1,4,5,0,13,9,13,8,451
,139A086,30,21,41,0,2,1,0,1,0,0,3,24,4,0,0,0,0,86,76,40,1,1,3,1,7,0,17,6,4,2,371
,139A087,6,11,55,3,3,0,0,2,1,0,3,8,3,0,0,0,1,34,55,21,0,0,1,2,1,2,8,4,0,3,227
,139A088,9,21,59,4,5,0,1,0,0,0,10,17,4,0,0,1,0,62,81,35,0,0,3,1,7,1,10,6,13,7,357
,139A089,11,20,65,0,1,0,1,1,0,0,1,17,0,0,0,2,0,90,143,26,0,0,0,3,2,3,4,5,3,2,400
,139A090,41,19,49,0,2,0,0,2,0,0,3,6,21,0,0,9,0,60,95,23,0,0,4,1,0,0,4,3,9,1,352
,139A091,21,22,40,0,0,0,1,3,0,0,1,14,5,0,0,0,0,48,73,25,0,0,0,1,2,0,5,12,3,10,286
,139A092,27,22,39,1,1,0,0,3,0,0,4,8,2,0,0,0,0,52,109,24,0,0,0,0,1,0,3,8,8,3,315
,139A093,29,20,69,0,0,1,0,9,0,0,1,10,2,0,0,1,0,44,127,12,0,0,0,1,1,0,6,5,10,6,354
,139A094,12,7,56,0,0,0,0,5,0,0,2,24,6,0,0,1,1,58,70,34,0,0,1,2,0,0,8,4,9,5,305
,139A095,10,10,63,2,0,0,0,2,0,0,0,17,22,0,0,0,0,51,75,39,0,0,1,2,0,2,6,8,8,8,326
,139A096,20,30,59,0,0,0,1,2,1,0,3,21,2,0,0,2,1,74,95,28,0,1,1,1,2,0,24,11,8,10,397
,139A097,8,9,51,3,6,0,0,2,0,0,0,26,0,0,0,0,1,77,73,28,0,0,2,1,5,0,4,9,6,6,317
,139A098,29,19,61,1,0,0,2,1,0,0,1,25,11,0,0,0,0,85,81,38,1,1,3,0,4,0,14,8,7,16,408
,139A099,7,20,58,0,2,0,0,2,0,0,4,26,11,0,0,1,0,71,125,40,0,0,0,0,4,0,14,5,15,7,412
,139A100,23,14,58,0,0,1,2,2,0,0,0,9,11,0,0,0,0,57,129,22,0,0,3,0,2,0,2,3,2,5,345
,139A101,9,13,39,0,1,0,0,3,0,0,2,5,4,0,0,0,0,59,81,33,0,0,1,0,1,0,0,12,4,1,268
,141A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,141A001,8,2,109,0,0,0,0,0,0,0,1,7,0,0,0,0,0,15,106,135,0,1,0,0,1,0,48,1,1,12,447
,141A002,11,7,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,22,121,0,0,0,0,0,0,4,1,2,28,300
,141A003,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,79,0,0,0,0,0,0,0,0,1,6,151
,141A004,4,4,67,0,0,0,0,0,0,0,2,1,2,0,0,0,1,16,179,231,0,0,1,0,4,0,17,2,1,4,536
,141A005,53,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,63,0,0,1,1,0,0,100,1,1,0,353
