,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,130A021,11,26,34,0,0,0,0,0,0,0,0,1,2,0,0,0,0,35,164,25,0,0,0,0,2,0,16,6,7,0,329
,130A022,2,11,50,0,0,1,0,1,0,0,0,1,0,0,0,0,1,48,101,22,0,0,0,2,4,2,43,3,1,8,301
,130A023,6,18,48,4,2,1,0,6,0,0,2,2,0,0,0,1,0,32,89,16,0,0,0,4,1,0,29,1,5,0,267
,130A024,6,9,35,1,1,0,0,0,0,0,5,0,5,0,1,0,0,25,53,6,0,0,0,0,2,0,7,0,1,1,158
,130A025,6,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,216,14,0,0,0,1,1,0,51,3,2,2,370
,130A026,13,10,18,0,1,0,0,0,0,0,9,5,0,0,0,0,0,20,97,21,0,0,0,0,0,1,132,1,9,0,337
,130A027,10,20,59,0,0,0,0,0,0,0,18,1,0,0,0,4,0,39,181,27,0,0,0,5,1,0,58,2,2,1,428
,130A028,4,37,24,0,0,0,0,0,0,0,3,0,1,0,0,0,0,19,99,21,0,0,0,0,4,0,17,4,0,1,234
,130A029,6,15,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,96,6,0,0,0,0,8,0,53,0,2,0,235
,130A030,10,6,31,0,0,0,0,0,0,0,2,3,1,0,0,1,0,21,137,18,0,0,3,0,0,0,1,3,4,0,241
,130A031,5,16,83,0,0,0,0,1,0,0,9,2,2,0,0,1,0,56,96,34,1,0,1,0,1,1,31,3,11,7,361
,130A032,22,32,48,0,1,0,0,0,0,0,0,4,4,0,0,0,0,45,77,15,0,1,0,1,1,1,50,5,5,3,315
,130A033,1,16,38,0,0,0,2,0,0,0,4,2,0,0,0,0,0,21,46,21,0,0,0,1,0,0,18,3,3,1,177
,130A034,2,13,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,29,5,0,0,0,1,2,0,8,0,6,0,123
,130A035,3,20,30,1,4,0,0,1,0,0,1,2,2,0,1,0,0,39,116,27,0,0,0,0,0,0,25,1,2,0,275
,130A036,10,21,40,2,0,0,0,0,0,0,2,3,1,0,0,0,0,53,104,40,0,0,0,0,4,0,16,4,4,1,305
,131A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,131A001,22,20,56,0,0,0,0,2,0,0,3,4,2,1,0,0,0,56,111,51,0,0,3,1,2,0,6,3,1,5,349
,131A002,24,16,51,0,1,0,0,1,0,0,15,8,1,0,0,0,1,53,73,15,0,1,0,1,0,0,6,2,4,4,277
,131A003,9,18,58,0,0,0,0,2,0,0,12,1,1,0,0,1,0,18,86,15,0,0,3,2,0,0,5,3,2,7,243
,131A004,31,12,42,0,0,0,0,0,0,0,9,2,0,0,0,1,1,34,83,14,0,0,0,0,4,0,8,5,2,0,248
,131A005,16,9,27,0,0,0,0,0,0,0,32,7,0,0,0,0,5,36,69,24,2,0,1,0,0,1,1,1,0,1,232
,131A006,18,20,49,0,1,0,0,1,0,0,6,8,8,0,0,0,3,40,114,12,0,0,0,2,2,0,19,4,1,2,310
,131A007,12,25,55,1,0,1,0,4,0,0,5,2,0,0,0,0,0,41,93,23,6,1,1,3,0,0,6,5,2,5,291
,131A008,21,32,34,0,1,0,0,1,0,0,4,2,1,0,1,0,1,32,92,10,0,0,2,2,6,1,6,4,7,2,262
,131A009,7,11,37,0,0,0,0,2,0,0,11,12,0,0,0,0,0,35,94,17,1,0,0,1,1,0,2,1,1,1,234
,131A010,16,5,77,0,0,0,1,0,1,0,2,12,1,0,0,0,0,60,122,40,0,0,4,0,1,1,13,13,3,7,379
,131A011,16,19,53,0,0,0,0,0,1,0,4,1,0,0,0,0,0,86,107,47,0,0,2,0,2,0,7,12,4,7,368
,131A012,9,9,43,0,1,0,0,0,0,0,1,10,1,0,0,0,0,36,74,15,0,0,0,1,1,0,9,3,3,4,220
,131A013,3,6,49,0,1,0,0,0,0,0,0,6,0,0,0,2,0,49,63,14,0,0,1,0,1,0,0,13,1,7,216
,131A014,17,24,63,0,0,0,1,0,0,0,4,6,0,0,1,0,0,69,63,29,0,0,2,3,4,0,21,14,3,6,330
,131A015,15,15,52,0,0,0,0,0,0,0,2,14,8,0,0,0,0,96,112,27,0,1,6,3,5,0,18,3,1,2,380
,131A016,32,11,45,0,0,0,1,0,0,0,3,4,0,0,0,2,0,44,159,22,0,0,5,0,1,0,11,15,2,2,359
,131A017,9,22,57,0,0,0,1,1,0,0,7,14,14,0,0,0,0,78,128,17,0,0,2,0,0,2,6,17,9,5,389
,131A018,9,8,66,0,1,0,0,0,0,0,8,7,1,0,0,14,0,53,121,26,0,0,5,2,7,0,7,7,6,14,362
,131A019,17,16,53,0,1,0,0,0,0,0,1,3,2,0,0,0,0,24,140,66,0,0,1,0,3,0,12,7,6,72,424
,131A020,11,12,74,0,4,0,0,1,0,0,18,4,0,0,0,2,1,50,140,38,0,0,4,2,1,0,11,8,4,3,388
,131A021,12,33,66,1,3,0,0,0,0,0,6,13,1,0,0,0,0,66,84,30,0,1,16,1,1,2,13,13,3,12,377
