,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKI SAVEZ HKDU - HRAST,IMAMOVIĆ-ARIFOVIĆ AMELA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SINANOVIĆ MERIMA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA NAROD BOSNE I HERCEGOVINE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,117A004,19,2,35,73,0,0,0,0,0,5,0,5,220,98,38,0,0,0,0,5,13,38,0,0,551
,117A005,22,1,23,77,0,1,0,1,0,3,0,2,184,144,24,0,0,0,0,2,50,49,1,3,587
,117A006,10,0,9,24,0,0,0,0,1,0,0,0,116,81,8,0,0,0,0,0,0,2,0,0,251
,117A007,20,0,9,15,0,0,0,0,1,0,1,2,127,149,12,0,0,0,0,1,0,43,1,2,383
,117A008,66,1,16,11,0,0,0,0,0,1,0,0,96,31,8,0,1,1,0,0,2,22,0,0,256
,117A009,6,0,6,24,0,0,0,0,0,0,1,0,102,67,57,0,0,0,0,1,0,9,0,4,277
,117A010,22,1,25,50,1,0,0,0,5,3,0,0,125,83,22,0,2,2,0,3,3,44,0,12,403
,117A011,14,0,22,55,0,0,0,0,0,2,0,0,166,126,22,0,2,0,0,1,8,27,0,5,450
,117A012,28,0,29,62,1,0,0,1,2,2,0,1,169,102,25,0,0,0,0,0,6,32,0,7,467
,117A013,12,0,6,46,0,0,0,1,1,0,0,0,110,57,19,0,0,0,0,3,4,13,0,2,274
,117A014,13,0,20,54,0,0,0,0,0,5,1,0,173,81,24,1,0,0,0,1,3,26,2,1,405
,117A015,15,1,14,39,0,0,0,0,2,3,0,4,157,87,15,1,0,0,0,0,0,22,0,4,364
,117A016,11,0,17,29,1,4,0,0,0,2,0,0,132,60,12,0,0,0,0,0,3,21,0,1,293
,117A017,10,0,21,30,0,0,0,0,0,1,0,0,89,49,5,0,0,0,0,0,3,21,0,0,229
,183A001,1,0,1,5,41,156,1,0,24,0,0,0,25,25,11,0,1,0,0,0,3,1,0,1,296
,183A002,0,0,0,4,34,31,0,0,8,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,81
,183A003,0,0,0,0,50,112,2,0,61,0,0,0,3,0,5,0,1,0,0,0,2,0,0,0,236
,183A004A,0,0,0,2,48,138,0,0,30,0,0,0,2,0,3,0,0,1,0,0,1,0,0,0,225
,183A004B,0,0,0,0,76,114,0,0,157,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,354
,183A005,0,0,2,1,35,107,1,0,44,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,194
,183A006A,2,0,0,10,30,74,0,0,17,1,0,0,7,4,12,0,0,1,0,0,4,1,0,1,164
,183A006B,4,0,2,13,36,68,0,0,23,0,0,0,5,5,21,0,0,1,0,0,4,0,0,0,182
